,tick0,tick1,tick2,tick4
GO:0002020,0,3,2,1
GO:0002021,0,0,0,2
GO:0002024,0,0,0,2
GO:0002026,6,1,6,5
GO:0002027,3,2,1,2
GO:0002028,3,1,0,4
GO:0002035,0,1,0,0
GO:0002039,3,7,2,2
GO:0002040,0,0,1,0
GO:0002046,1,1,0,1
GO:0002052,0,2,0,0
GO:0002053,0,1,0,0
GO:0002054,1,1,2,1
GO:0002055,1,0,0,0
GO:0002058,0,0,0,1
GO:0002059,0,0,0,1
GO:0002060,1,1,2,0
GO:0002061,0,0,0,1
GO:0002062,0,3,3,1
GO:0002064,30,50,33,35
GO:0002065,0,0,2,1
GO:0002082,0,0,0,1
GO:0002084,0,1,1,0
GO:0002086,0,1,0,0
GO:0002087,0,1,0,0
GO:0002088,1,3,1,1
GO:0002089,1,3,1,0
GO:0002090,0,1,0,1
GO:0002091,0,0,0,1
GO:0002092,0,1,0,0
GO:0002093,0,0,0,3
GO:0002094,2,0,0,0
GO:0002097,2,1,1,1
GO:0002098,2,1,1,1
GO:0002102,0,1,0,0
GO:0002115,0,3,1,0
GO:0002118,29,32,32,12
GO:0002119,86,93,75,80
GO:0002121,20,22,11,8
GO:0002138,2,2,2,2
GO:0002139,2,0,0,0
GO:0002141,2,0,0,0
GO:0002142,2,0,0,0
GO:0002143,1,0,0,0
GO:0002144,1,0,0,0
GO:0002151,1,0,0,0
GO:0002164,105,137,95,99
GO:0002165,163,312,122,139
GO:0002168,18,38,15,19
GO:0002176,1,0,0,0
GO:0002178,3,1,1,1
GO:0002181,4,6,2,2
GO:0002182,1,0,0,0
GO:0002183,2,5,1,2
GO:0002189,0,1,4,0
GO:0002190,2,5,1,2
GO:0002192,2,5,1,2
GO:0002199,0,1,1,1
GO:0002200,2,1,0,0
GO:0002204,2,1,0,0
GO:0002208,2,1,0,0
GO:0002209,2,1,0,0
GO:0002218,11,12,2,3
GO:0002221,10,12,2,2
GO:0002224,9,6,1,0
GO:0002225,0,0,0,1
GO:0002237,12,16,19,8
GO:0002244,1,1,0,0
GO:0002250,3,1,0,1
GO:0002251,1,0,0,2
GO:0002252,9,24,8,8
GO:0002253,14,17,4,3
GO:0002260,1,0,0,0
GO:0002262,2,1,1,5
GO:0002263,3,2,0,1
GO:0002274,1,6,3,2
GO:0002275,1,0,0,0
GO:0002281,1,0,0,0
GO:0002282,1,0,0,0
GO:0002285,2,2,0,1
GO:0002312,2,2,0,1
GO:0002313,0,1,0,1
GO:0002314,0,1,0,1
GO:0002320,1,0,0,0
GO:0002328,1,0,0,0
GO:0002335,0,1,0,1
GO:0002366,3,2,0,1
GO:0002367,0,0,0,1
GO:0002369,0,0,0,1
GO:0002376,72,102,59,47
